Name, #Commits, #Contributors, #Languages, #Brench, #Forks, #Stars, #Releases, #Pull request, #Iusses
MySensors, 2109, 100, 8, 2, 855, 1250, 13, 26, 161
thingspeak, 294, 8, 6, 8, 310, 999, 0, 13, 35
mini-graph-card, 315, 37, 2, 12, 191, 2212, 44, 8, 103
swatd, 54, 6, 3, 1, 49, 851, 0, 0, 2
EdgeML, 890, 29, 14, 35, 347, 1372, 2, 15, 26
DIY-Thermocam, 362, 3, 2, 1, 160, 1001, 4, 3, 17
python-broadlink, 303, 73, 1, 9, 430, 1208, 15, 15, 84
user.activity, 27, 4, 1, 1, 45, 738, 0, 0, 0
DumpsterFire, 158, 1, 1, 1, 144, 895, 1, 1, 4
LittleD, 14, 2, 4, 1, 51, 710, 0, 0, 13
vive-diy-position-sensor, 69, 3, 4, 2, 106, 853, 2, 2, 11
HWSensors, 1464, 18, 6, 5, 132, 667, 24, 1, 184
upm, 2156, 58, 9, 8, 409, 638, 17, 7, 62
Azure-Kinect-Sensor-SDK, 686, 34, 10, 14, 539, 1289, 2, 13, 292
GSLAM, 60, 1, 7, 5, 246, 864, 4, 0, 18
DoorSignView, 34, 1, 1, 1, 81, 565, 4, 0, 1
react-native-sensors, 351, 51, 6, 38, 211, 808, 43, 15, 36
RPi-KittyCam, 38, 3, 1, 2, 55, 576, 0, 2, 4
ethzasl_msf, 666, 15, 6, 31, 376, 839, 0, 7, 67
science-journal-ios, 317, 13, 5, 13, 66, 532, 0, 2, 34
gast-lib, 28, 2, 4, 4, 227, 509, 0, 0, 5
MPU6050, 68, 4, 1, 3, 186, 662, 0, 0, 34
depth_clustering, 91, 1, 4, 3, 351, 969, 2, 0, 7
science-journal, 2451, 13, 4, 3, 147, 507, 6, 4, 38
w1thermsensor, 311, 25, 1, 7, 107, 483, 5, 0, 8
macchina.io, 1126, 8, 16, 10, 144, 489, 12, 5, 38
GrovePi, 1114, 67, 14, 3, 430, 476, 0, 4, 45
sensors-software, 1572, 49, 12, 8, 276, 539, 1, 8, 196
LiveScan3D, 59, 5, 4, 3, 187, 670, 2, 2, 32
librekinect, 14, 3, 3, 1, 65, 399, 0, 2, 26
Sensor, 28, 3, 6, 2, 141, 378, 0, 2, 14
walt, 313, 8, 8, 1, 75, 420, 8, 3, 25
razor-9dof-ahrs, 66, 3, 5, 3, 241, 428, 1, 7, 60
react-native-incall-manager, 183, 32, 4, 5, 163, 478, 17, 2, 77
parallaxify, 25, 4, 1, 2, 84, 356, 0, 0, 3
lm-sensors, 5315, 51, 8, 4, 219, 704, 0, 45, 201
Hue-sensors-HASS, 313, 21, 1, 5, 70, 355, 40, 1, 23
rpi-appliance-monitor, 122, 12, 1, 1, 58, 401, 0, 0, 10
pi-sensor-free-presence-detector, 7, 1, 1, 1, 55, 364, 0, 0, 3
miflora-mqtt-daemon, 102, 28, 2, 2, 128, 542, 0, 2, 69
tracking-with-Extended-Kalman-Filter, 54, 1, 3, 1, 234, 569, 0, 0, 8
mastering_ros, 29, 3, 6, 1, 270, 421, 0, 0, 23
ESP-MQTT-JSON-Multisensor, 41, 7, 1, 1, 151, 338, 0, 8, 39
OSCeleton, 68, 3, 4, 1, 66, 310, 0, 3, 17
iot-433mhz, 355, 1, 4, 1, 47, 316, 2, 0, 19
konnected-security, 402, 14, 6, 21, 325, 401, 35, 6, 7
Arduino, 47, 2, 5, 1, 296, 321, 0, 2, 5
ironbee, 7991, 9, 21, 21, 62, 293, 0, 1, 7
simplebeerservice, 62, 4, 3, 5, 79, 314, 2, 6, 8
alfred, 462, 6, 2, 2, 133, 801, 1, 0, 10
xamarin-fingerprint, 289, 12, 3, 4, 108, 456, 0, 3, 58
gnss-ins-sim, 258, 6, 3, 1, 251, 822, 5, 0, 0
node-dht-sensor, 238, 8, 4, 5, 62, 299, 0, 5, 10
HandTracker, 38, 2, 3, 3, 81, 298, 0, 0, 8
SIM7000-LTE-Shield, 1029, 12, 0, 1, 218, 460, 4, 0, 110
ethzasl_sensor_fusion, 64, 3, 3, 4, 145, 312, 0, 0, 30
miflora, 191, 20, 2, 4, 91, 356, 3, 3, 13
CapacitiveSensor, 39, 11, 1, 1, 128, 339, 4, 4, 16
BME280_driver, 37, 5, 1, 1, 200, 363, 11, 11, 11
sensor-visualizer-kit, 14, 1, 2, 1, 10, 246, 0, 1, 1
Adafruit-Fingerprint-Sensor-Library, 139, 21, 1, 5, 301, 340, 21, 6, 15
PlantWateringAlarm, 59, 2, 4, 6, 79, 306, 0, 0, 2
Fingerprint2Sleep, 142, 4, 2, 2, 77, 251, 5, 2, 2
Clight, 887, 14, 4, 3, 24, 543, 27, 1, 18
sense-js, 61, 3, 2, 1, 21, 224, 1, 0, 0
STMems_Standard_C_drivers, 986, 18, 1, 2, 466, 556, 3, 1, 9
VeloView, 2422, 16, 3, 1, 169, 295, 0, 3, 3
soletta, 3086, 34, 14, 1, 111, 227, 23, 5, 104
ha-wyzesense, 161, 10, 1, 2, 95, 365, 9, 6, 92
lidar_align, 80, 2, 2, 5, 207, 601, 0, 1, 22
node-sensortag, 139, 12, 1, 1, 110, 216, 0, 4, 14
SmartIMU, 174, 2, 9, 1, 160, 258, 2, 0, 0
Validity91, 31, 2, 2, 1, 19, 232, 0, 1, 7
Adafruit_BME280_Library, 138, 27, 1, 4, 263, 297, 23, 2, 4
PulseSensor_Amped_Arduino, 165, 4, 1, 1, 203, 228, 0, 4, 43
FileSensor, 9, 1, 1, 1, 78, 242, 0, 1, 1
NaveGo, 541, 3, 1, 4, 189, 457, 8, 0, 10
home-assistant-config, 240, 1, 6, 12, 56, 313, 6, 0, 25
vl53l0x-arduino, 44, 8, 1, 1, 127, 288, 0, 4, 11
ros-sensor-fusion-tutorial, 21, 2, 0, 1, 153, 512, 0, 0, 4
react-native-sensor-manager, 45, 8, 2, 1, 63, 230, 0, 7, 29
weatherstation, 68, 9, 1, 2, 69, 214, 0, 0, 4
OctoPrint-Enclosure, 530, 40, 5, 4, 177, 374, 28, 7, 156
SensorDashboard, 103, 4, 1, 2, 109, 229, 0, 0, 0
BME680_driver, 30, 3, 2, 1, 78, 251, 10, 2, 2
