Name, #Commits, #Contributors, #Languages, #Brench, #Forks, #Stars, #Releases, #Pull request, #Iusses
koalas, 1548, 50, 2, 1, 337, 3246, 47, 10, 111
tad, 516, 4, 7, 6, 118, 2568, 12, 3, 104
eli5, 1198, 12, 4, 9, 314, 2634, 0, 20, 164
120-Data-Science-Interview-Questions, 47, 13, 0, 1, 1082, 3224, 0, 8, 9
tensorflow, 142267, 411, 27, 57, 86249, 170667, 184, 234, 2361
awesome-machine-learning, 1827, 443, 1, 2, 12628, 57498, 0, 1, 1
pytorch, 56016, 350, 27, 13441, 16912, 62049, 43, 754, 10618
tesseract, 6167, 160, 9, 10, 7916, 48673, 24, 14, 378
face_recognition, 238, 50, 3, 7, 12493, 47109, 2, 21, 697
caffe, 4156, 259, 8, 7, 13977, 33085, 14, 286, 1181
faceswap, 1705, 80, 3, 6, 11945, 43294, 3, 2, 17
100-Days-Of-ML-Code, 109, 6, 0, 2, 9569, 39525, 0, 29, 29
julia, 53564, 403, 19, 758, 5020, 41446, 134, 909, 4399
Made-With-ML, 43, 1, 1, 1, 5096, 32163, 0, 6, 6
machine-learning-for-software-engineers, 298, 35, 0, 2, 5402, 26471, 0, 7, 21
awesome-deep-learning-papers, 168, 29, 2, 1, 4187, 24216, 0, 19, 34
handson-ml, 509, 38, 5, 3, 12357, 24961, 0, 16, 134
xgboost, 6165, 411, 17, 19, 8039, 23700, 48, 49, 351
fastai, 2615, 218, 3, 1, 7163, 23297, 47, 13, 137
openpose, 705, 96, 7, 3, 7208, 25788, 15, 11, 208
Coursera-ML-AndrewNg-Notes, 117, 10, 2, 2, 9769, 26834, 0, 12, 60
ML-From-Scratch, 374, 6, 1, 1, 4090, 21887, 0, 18, 48
100-Days-Of-ML-Code, 323, 19, 2, 1, 5182, 19489, 0, 1, 12
awesome-deep-learning, 533, 134, 0, 2, 4835, 20152, 0, 19, 23
cs-video-courses, 310, 79, 0, 2, 6975, 51236, 0, 1, 14
lectures, 64, 7, 0, 1, 3499, 15432, 0, 0, 11
pwc, 78, 9, 0, 1, 2385, 15408, 0, 6, 24
WaveFunctionCollapse, 140, 15, 1, 1, 1072, 20530, 1, 0, 1
homemade-machine-learning, 250, 2, 2, 1, 3737, 20797, 0, 11, 22
DeepSpeech, 3466, 133, 16, 61, 3543, 20938, 105, 18, 124
cheatsheets-ai, 32, 3, 0, 1, 3306, 14444, 0, 0, 7
Qix, 1295, 13, 0, 2, 4680, 14125, 1, 0, 0
tfjs, 5762, 320, 14, 262, 1764, 16947, 81, 127, 636
Screenshot-to-code, 178, 6, 4, 2, 1385, 13913, 0, 3, 20
predictionio, 4495, 132, 7, 7, 1971, 12544, 1, 17, 17
gun, 2456, 131, 7, 14, 1119, 16824, 17, 39, 287
Paddle, 39622, 333, 13, 34, 4762, 19449, 58, 898, 1804
pytorch-handbook, 249, 32, 1, 3, 5023, 17698, 0, 0, 50
pumpkin-book, 437, 25, 0, 1, 4417, 20969, 6, 0, 16
awesome-nlp, 526, 131, 0, 4, 2275, 14159, 0, 16, 20
Machine-Learning-Tutorials, 308, 31, 0, 2, 3021, 12992, 0, 26, 33
nsfw_data_scraper, 52, 6, 3, 1, 2853, 11819, 0, 0, 1
dive-into-machine-learning, 350, 32, 0, 2, 1875, 11110, 0, 0, 0
tensor2tensor, 4376, 217, 6, 3, 3098, 12913, 75, 15, 588
ChatterBot, 1848, 84, 1, 7, 4107, 12848, 86, 43, 360
google-research, 3792, 391, 25, 120, 6611, 26947, 0, 242, 903
turicreate, 1571, 71, 15, 3, 1140, 10893, 30, 19, 513
stanford-tensorflow-tutorials, 106, 2, 1, 1, 4189, 10214, 1, 20, 87
caire, 490, 8, 3, 2, 370, 10129, 21, 0, 1
horovod, 1284, 153, 8, 105, 2101, 12968, 19, 9, 345
netron, 6411, 1, 6, 2, 2352, 21132, 2, 2, 26
state-of-the-art-result-for-machine-learning-problems, 169, 10, 0, 4, 1316, 8993, 0, 1, 15
dlib, 8139, 159, 12, 1, 2718, 11682, 25, 4, 43
nltk, 14408, 358, 6, 20, 2589, 11443, 0, 11, 223
kubeflow, 2384, 261, 13, 59, 2024, 12205, 80, 89, 324
botpress, 13294, 164, 8, 55, 1341, 10040, 123, 33, 261
imgaug, 2913, 24, 2, 2, 2308, 13251, 3, 9, 284
EffectiveTensorflow, 126, 11, 0, 3, 911, 8659, 0, 0, 0
shap, 2277, 161, 8, 14, 2715, 18383, 47, 88, 1601
numpy-ml, 348, 12, 1, 1, 3177, 11643, 0, 11, 27
caffe2, 3680, 196, 1, 23, 1906, 8402, 4, 0, 580
flair, 5006, 188, 1, 64, 1663, 12392, 20, 11, 76
sonnet, 854, 51, 3, 5, 1339, 9504, 2, 5, 34
the-gan-zoo, 175, 19, 1, 7, 2414, 12922, 0, 17, 33
rasa, 31010, 310, 7, 550, 4100, 15410, 180, 114, 116
onnx, 2146, 244, 8, 36, 3253, 13966, 23, 89, 348
ml-agents, 3459, 134, 8, 392, 3577, 13989, 60, 40, 148
TensorFlow-Tutorials, 100, 1, 2, 1, 3973, 9121, 0, 0, 1
MLAlgorithms, 146, 25, 2, 1, 1510, 9112, 0, 0, 9
awesome-aws, 632, 61, 2, 2, 1498, 11115, 1, 57, 62
mit-deep-learning-book-pdf, 26, 7, 1, 1, 2345, 10846, 3, 0, 10
fashion-mnist, 224, 12, 5, 1, 2703, 10531, 0, 0, 26
deep-learning-drizzle, 153, 9, 2, 1, 2656, 10928, 1, 1, 6
Winds, 3306, 27, 1, 5, 615, 8733, 0, 0, 0
mit-deep-learning, 64, 4, 1, 2, 2058, 9478, 0, 12, 16
pattern, 1434, 19, 3, 7, 1512, 8400, 1, 45, 173
clip-as-service, 1944, 51, 3, 24, 1911, 11176, 68, 12, 273
lime, 531, 45, 5, 8, 1668, 10380, 18, 15, 80
handson-ml2, 913, 71, 5, 1, 10761, 23950, 0, 6, 191
Learn_Machine_Learning_in_3_Months, 10, 5, 0, 1, 2201, 7553, 0, 8, 18
golearn, 570, 53, 6, 10, 1170, 8709, 0, 8, 80
vowpal_wabbit, 10280, 212, 22, 45, 1755, 8114, 26, 18, 130
SmartOpenCV, 21, 1, 6, 1, 518, 1903, 1, 0, 3
OpenCV-Python-Tutorial, 263, 2, 4, 4, 1056, 2958, 0, 5, 11
Learning-OpenCV-3_examples, 228, 5, 2, 11, 857, 2125, 0, 6, 21
OpenCVForAndroid, 37, 1, 4, 3, 592, 1804, 0, 0, 21
OpenCV-Python-Tutorial, 27, 3, 0, 2, 34, 74, 0, 0, 0
OpenCV3-Intro-Book-Src, 24, 2, 1, 1, 910, 1728, 0, 2, 15
OpenCV2-Python-Tutorials, 167, 7, 2, 1, 890, 1218, 1, 188, 256
Install-OpenCV, 91, 27, 1, 2, 912, 1024, 0, 3, 27
OpenCVSwiftStitch, 89, 3, 5, 6, 122, 896, 2, 0, 1
OpenCV-Face-Recognition, 9, 1, 1, 1, 928, 943, 0, 7, 33
OpenCV-Marker-less-AR, 9, 2, 2, 3, 228, 538, 1, 0, 2
OpenCV-Playing-Card-Detector, 13, 1, 1, 1, 207, 623, 0, 0, 10
OpenCV-Android, 19, 0, 3, 2, 158, 445, 0, 1, 16
OpenCV-iOS, 18, 2, 2, 1, 113, 435, 0, 0, 0
GankDaily, 57, 2, 2, 2, 159, 696, 0, 0, 2
alfred-encode-decode-workflow, 30, 6, 1, 1, 40, 519, 0, 2, 10
tensorflow-mnist-VAE, 9, 1, 1, 1, 179, 474, 0, 0, 6
probabilistic_unet, 20, 1, 2, 4, 90, 499, 0, 4, 15
Variational-Autoencoder, 16, 3, 1, 1, 140, 371, 0, 0, 0
Generative_Models_Tutorial_with_Demo, 41, 1, 1, 1, 40, 305, 0, 0, 0
donut, 20, 2, 1, 3, 138, 409, 0, 0, 21
VAE-Torch, 45, 2, 1, 1, 60, 258, 0, 0, 0
fauxtograph, 63, 5, 2, 8, 54, 226, 0, 9, 17
s-vae-pytorch, 23, 6, 1, 1, 48, 313, 0, 0, 0
VAE-TensorFlow, 7, 3, 1, 1, 78, 203, 0, 0, 0
s-vae-tf, 21, 2, 1, 1, 39, 210, 0, 0, 0
vae-celebA, 32, 3, 1, 1, 44, 171, 0, 0, 5
vae-seq, 78, 1, 1, 1, 35, 157, 0, 0, 0
tensorflow-mnist-CVAE, 13, 1, 1, 1, 38, 145, 0, 0, 2
resnet-cppn-gan-tensorflow, 4, 0, 1, 1, 36, 123, 0, 0, 1
vae-npvc, 41, 1, 2, 2, 42, 143, 0, 1, 12
Variational-Lstm-Autoencoder, 27, 1, 1, 1, 57, 245, 0, 0, 11
kvae, 30, 3, 1, 2, 32, 127, 0, 0, 1
smrt, 148, 3, 2, 6, 28, 115, 0, 0, 2
TD-VAE, 20, 1, 1, 2, 20, 129, 0, 0, 0
alpha-GAN, 16, 1, 2, 1, 24, 78, 0, 0, 1
IMPLEMENTATION_Variational-Auto-Encoder, 11, 1, 1, 1, 24, 96, 0, 0, 1
vae_captioning, 58, 1, 2, 1, 11, 58, 0, 0, 5
vae_householder_flow, 9, 1, 1, 1, 13, 72, 0, 0, 2
cycle-consistent-vae, 3, 1, 1, 1, 20, 71, 0, 0, 2
LSTMVRAE, 2, 1, 1, 1, 13, 51, 0, 0, 0
vae-concrete, 10, 1, 1, 1, 17, 51, 0, 0, 1
pvae, 11, 3, 1, 2, 28, 105, 0, 1, 5
BVAE-tf, 33, 2, 1, 1, 14, 54, 0, 0, 5
Variational-Graph-Auto-Encoders, 38, 1, 1, 1, 24, 65, 0, 0, 2
VAE_NBP, 23, 1, 2, 1, 19, 42, 0, 0, 0
minimal_vae, 4, 1, 1, 1, 3, 37, 0, 0, 0
FTP-implement-based-on-UDP, 4, 1, 2, 1, 32, 48, 0, 2, 3
Variational-AutoEncoder-for-Dialogue-Generation, 72, 1, 0, 1, 13, 36, 0, 0, 0
VAE-Text-Generation, 5, 1, 1, 1, 15, 63, 0, 1, 5
chainer-Variational-AutoEncoder, 16, 1, 1, 1, 8, 32, 0, 0, 0
CifarVAE, 16, 1, 1, 1, 4, 36, 0, 0, 1
vae-audio, 27, 2, 1, 1, 18, 90, 0, 0, 2
mat-vae, 17, 0, 1, 1, 21, 35, 0, 0, 3
VAE-pytorch, 22, 2, 1, 1, 10, 46, 0, 0, 0
chainer-vae-gan, 6, 1, 1, 1, 1, 27, 0, 0, 0
improving-variational-encoder-decoders-in-dialogue-generation, 16, 1, 1, 1, 9, 28, 0, 0, 2
variational-timbre, 59, 3, 2, 1, 5, 44, 0, 0, 1
pytorch-vae, 4, 1, 1, 1, 6, 37, 0, 0, 1
variational-autoencoder, 1, 1, 1, 1, 9, 31, 0, 0, 1
pytorch-mnist-vae, 19, 2, 1, 1, 10, 51, 0, 0, 0
Learning-Disentangled-Representations-under-Supervision, 40, 1, 2, 2, 4, 22, 0, 0, 2
vgae_pytorch, 5, 1, 1, 1, 62, 215, 0, 1, 2
Spanish-Metaphone, 8, 1, 1, 1, 20, 28, 0, 1, 1
VAE-MF-TensorFlow, 34, 1, 3, 3, 3, 17, 0, 0, 0
deep-pensieve, 95, 1, 2, 1, 3, 17, 0, 0, 1
VMED, 22, 1, 1, 1, 5, 18, 0, 0, 0
vaelm, 101, 1, 1, 1, 0, 14, 0, 0, 0
deep-generative-models, 98, 2, 2, 1, 0, 1, 0, 0, 0
Deep-Feature-Consistent-Variational-AutoEncoder-in-Tensorflow, 10, 1, 1, 1, 9, 21, 0, 0, 3
Correlated-VAEs, 6, 1, 1, 1, 4, 14, 0, 0, 0
LVAE, 16, 1, 1, 2, 3, 16, 0, 0, 0
probabilistic_unet, 9, 1, 2, 1, 9, 17, 0, 0, 1
VAE_rec, 7, 1, 1, 2, 6, 16, 0, 0, 0
auto-encoding-variational-bayes, 17, 1, 1, 2, 6, 17, 0, 0, 0
dirichlet-vae, 6, 1, 2, 1, 6, 20, 0, 0, 0
SLCVAE, 3, 1, 1, 1, 9, 18, 0, 0, 1
DeepProfile, 7, 1, 1, 1, 6, 16, 0, 0, 0
VAE-Tensorflow, 8, 1, 1, 1, 2, 11, 0, 0, 1
ARSM, 37, 3, 1, 1, 10, 19, 0, 0, 0
diff-vae-tensorflow, 8, 0, 1, 1, 2, 12, 0, 0, 0
TAVERN, 17, 2, 0, 2, 3, 21, 0, 0, 1
inception-vae, 11, 1, 1, 1, 3, 18, 0, 0, 0
lasagne-vae, 18, 1, 1, 1, 2, 9, 2, 0, 0
trajectory_forcasting, 3, 0, 1, 1, 12, 38, 0, 0, 0
Controlling-generative-models-with-continuous-factors-of-variations, 10, 1, 3, 8, 2, 18, 0, 7, 8
vesd, 3, 1, 0, 1, 0, 10, 0, 0, 2
Variational_AutoEncoder_ECG_HeartBeat, 14, 1, 1, 1, 2, 5, 0, 0, 0
Variational_Auto-Encoder, 14, 1, 1, 1, 1, 7, 0, 0, 0
Variational-Autoencoder, 20, 1, 1, 2, 1, 9, 0, 0, 0
U-HVED, 8, 1, 1, 2, 7, 24, 0, 1, 3
VariationalRecurrentAutoEncoder, 11, 1, 2, 1, 8, 7, 0, 0, 1
VAE, 8, 1, 1, 1, 3, 8, 0, 0, 0
vae-salience, 4, 1, 2, 1, 4, 9, 0, 0, 0
mono-semantic-occupancy, 9, 1, 2, 1, 10, 35, 0, 0, 1
HCV, 7, 1, 1, 1, 2, 10, 0, 0, 1
vae-tensorflow, 8, 1, 1, 1, 2, 8, 0, 0, 0
AEVB, 3, 2, 2, 7, 2, 7, 0, 0, 0
ConditionalVariationalAutoEncoder, 71, 0, 1, 1, 4, 9, 0, 0, 0
tensorflow-CVAE, 11, 1, 1, 1, 2, 6, 0, 0, 0
Variational-AutoEncoder-For-Novelty-Detection, 6, 1, 1, 1, 2, 11, 0, 0, 0
ofxGeneticAlg, 7, 1, 2, 1, 1, 6, 0, 0, 0
shotgunyara, 10, 1, 1, 1, 1, 7, 0, 0, 0
MetaVAE, 37, 1, 1, 1, 0, 8, 0, 0, 1
vae, 16, 1, 1, 1, 3, 3, 0, 0, 0
Variational-AutoEncoder-in-Pytorch, 3, 0, 1, 1, 4, 12, 0, 0, 0
MVAE_Music, 3, 2, 1, 1, 1, 5, 0, 0, 0
